ID,NOMBRE,APELLIDO,SALARIO,FECHA_NACIMIENTO,PESO (KG),DEPARTAMENTO
1,ANTONIO,GARCIA,"$1,500.00",20/03/1984,73,1
2,MANUEL,FERNANDEZ,"$1,100.00",13/12/1989,98,2
3,JOSE,GONZALEZ,"$1,500.00",20/09/1995,61,1
4,DAVID,PEREZ,"$1,100.00",18/10/1984,91,1
5,JUAN,LOPEZ,$500.00,18/11/1998,53,3
6,JOSE ANTONIO,RODRIGUEZ,"$2,500.00",20/03/1989,63,1
7,JAVIER,SANCHEZ,"$1,500.00",19/09/1994,70,3
8,JOSE LUIS,GOMEZ,"$1,200.00",29/09/1980,99,4
9,FRANCISCO,JIMENEZ,$800.00,11/03/1994,87,5
10,CARLOS,RUIZ,$300.00,23/09/1984,92,3
